id_pagos,amount,created
VjMsEiabVa36fDAPS7qA,3474,2024-10-30T18:45:20.460Z
XP2GFjheKNviDt1aPxVJ,14044.8,2024-10-30T18:41:00.429Z
6K6oKbUxXpGJZn4P8yjk,14660,2024-10-30T18:39:47.775Z
2p0CqFvRN1RmweySqYUm,11330,2024-10-30T18:31:35.559Z
kzR013B7tHvERwUUZuhN,1700,2024-10-30T18:25:33.501Z
DQoQnFMMtPXHMl1SVDie,18725,2024-10-30T18:24:31.355Z
nqlk9MAaPNumD3nxmV8l,2783.5,2024-10-30T18:24:09.689Z
xYQZNPJB5Rk6mZ6vMo7D,9784.656,2024-10-30T18:04:46.146Z
HOSHLW6EgSTN74qB6mYk,2800,2024-10-30T17:54:05.620Z
zJ7aAC26q4XSL1rcaWou,893,2024-10-30T17:53:18.771Z
o4juDrTGIZSIWLku8pEs,6000,2024-10-30T17:51:06.805Z
Z2i5B36wHfDqp13KdwPO,970,2024-10-30T17:46:51.652Z
JSlWkwSnXIj3PHLW88wW,1200,2024-10-30T17:42:45.327Z
jDOHu1WUGEfMVtZcIu6m,4470,2024-10-30T17:42:35.629Z
Stkdt0jm0ZIt9CVTYs8f,2384.5,2024-10-30T17:34:07.645Z
qMjc3Ihdr1kaQQNreBxt,18610,2024-10-30T17:33:51.305Z
l7gUmYedysPf7Wsrqy7k,5754,2024-10-30T17:31:54.832Z
4kvk3kG4RcCD1siXzMoo,320,2024-10-30T17:22:21.876Z
bLVLEjVt1BjlG0EvNfVM,30415,2024-10-30T17:15:28.756Z
AeiKwMovvmGucyVYuOVX,1491,2024-10-30T17:11:57.292Z
Lrmmn7ogNE24FhfVI6UE,2800,2024-10-30T17:00:24.045Z
yytbz4w2GPTCRWctUGex,2570,2024-10-30T16:44:20.725Z
S6BCaHziOXWXCtKLpzaY,4455,2024-10-30T16:40:19.163Z
upC34TkvF0ZCdVpnmmhz,700,2024-10-30T16:39:11.313Z
DedO8Mxf7jiSNDBide2l,3140,2024-10-30T16:36:33.814Z
5vhR44OW1mNebtyQXN4H,360,2024-10-30T16:32:50.607Z
Z9K0gLOxpQOFSd9iYG8s,3400,2024-10-30T16:31:08.785Z
XAuvUmzDOrM1GwqfP1kP,5450,2024-10-30T16:28:32.022Z
7XL9XV97O7QlgpcH0FKQ,10500,2024-10-30T16:28:08.126Z
