pagos,products,total
"[{""__ref__"":""pagos/Ev9dxmIa3TVa6sVFWo8s""},{""__ref__"":""pagos/xv5c6QGlBT3SPKw8T8SS""}]","[{""__ref__"":""productosSeleccionados/sGBFFcHfok8QGjU3QlNz""},{""__ref__"":""productosSeleccionados/8DYq39tZMjwZ5W9gxpnO""}]",16030
"[{""__ref__"":""pagos/nvwgefku3s2sQtveiwRI""}]","[{""__ref__"":""productosSeleccionados/sggUnbaM4kZvQlc9bWJs""}]",960
"[{""__ref__"":""pagos/XlaGVmRhhvkwR7HdMaIW""}]","[{""__ref__"":""productosSeleccionados/sgmbuyHiqgzA3qMXhiIW""}]",28882.0224
"[{""__ref__"":""pagos/MNe8Ex4bFjc8eMbU7Tjb""},{""__ref__"":""pagos/FokOIf9HQDs6hP9NgOod""}]","[{""__ref__"":""productosSeleccionados/SGnaikFLFseeC3jOcQa2""},{""__ref__"":""productosSeleccionados/2K1pq9dhxcvuOJ34o0l1""},{""__ref__"":""productosSeleccionados/0IuuzOeZIaLjSij6nvZ4""}]",14352.6
"[{""__ref__"":""pagos/2GuBGu1bDUtIbjvUrXv5""}]","[{""__ref__"":""productosSeleccionados/SgnuQI0bYzzPX1qQQajs""}]",588
"[{""__ref__"":""pagos/dRuTru2duObUHDYvWoDd""}]","[{""__ref__"":""productosSeleccionados/SgpK03matcmXuGEk4zBl""},{""__ref__"":""productosSeleccionados/B6DChPJzblwqWlNf8VEx""}]",2774
"[{""__ref__"":""pagos/kbog2VuDuozO86b9NZ95""}]","[{""__ref__"":""productosSeleccionados/SgU8TsYVzS8UPlURzS8b""},{""__ref__"":""productosSeleccionados/ATg2JwgqVAt6BBc1X2HT""}]",2710
"[{""__ref__"":""pagos/BZZ0XteEhfS0DlfqOkzO""}]","[{""__ref__"":""productosSeleccionados/SH3lF4o6rRddKZh1QprX""}]",11875
"[{""__ref__"":""pagos/9mv2jORWLlR2bzc0FKrm""}]","[{""__ref__"":""productosSeleccionados/sHM53XoS3lvNHHH3EVwG""}]",16443
"[{""__ref__"":""pagos/6vh5kXTYBggWywnwNkAt""}]","[{""__ref__"":""productosSeleccionados/ShmxJoI7m5yb1Q2ViH6d""}]",2640
"[{""__ref__"":""pagos/bjCfBbk1Yihsr2TZGYkW""}]","[{""__ref__"":""productosSeleccionados/ShR0HQeRP8ylywwxWowD""}]",520
"[{""__ref__"":""pagos/Z5O8GtXrRFCDN6iL4UAJ""}]","[{""__ref__"":""productosSeleccionados/shw0GsgyuzOLgCulGEb3""},{""__ref__"":""productosSeleccionados/vyubKUeMk2TIf9N5XTGB""}]",620
"[{""__ref__"":""pagos/BEj0H0kaV9fiAkQ1zlCm""}]","[{""__ref__"":""productosSeleccionados/shwn6Y0e0DHDMFWfRFtr""}]",2370
"[{""__ref__"":""pagos/ge6JdfBGK1Y8WuYT49Eo""}]","[{""__ref__"":""productosSeleccionados/shY8Uq43V2jvY1GWRaiw""}]",880
"[{""__ref__"":""pagos/i7S01Q9fDPmiinpj3w0G""}]","[{""__ref__"":""productosSeleccionados/SIjPlnZXP0tVoy5oudb6""}]",907.76
"[{""__ref__"":""pagos/Sb8sQaaZT7YdVGB46aVn""}]","[{""__ref__"":""productosSeleccionados/SikDIN8A6VL9v0H3Z2YZ""}]",3925
"[{""__ref__"":""pagos/jI94GdW0UPRqoppcrLJt""}]","[{""__ref__"":""productosSeleccionados/sILHqWHi6YLY9MhoZm9N""}]",8731.6875
"[{""__ref__"":""pagos/7Xgj3SCBYfKVxBaziHzL""}]","[{""__ref__"":""productosSeleccionados/SiOlgFO83GRk9A2Voo1e""}]",4830
"[{""__ref__"":""pagos/leDfpxizQSu4JV9COxRG""}]","[{""__ref__"":""productosSeleccionados/sIRW4YfFN8sjmGluFRVp""}]",880
"[{""__ref__"":""pagos/eGrVDNsojtlrAY5wy0yK""},{""__ref__"":""pagos/Hym7oSKFe6uFEnQtVfCx""}]","[{""__ref__"":""productosSeleccionados/siWjNzCL27o62zhhx8fr""},{""__ref__"":""productosSeleccionados/Z3N4C20yolzAH3nP3zQB""}]",5175
"[{""__ref__"":""pagos/PF2kU9kcmtKz3L6rX1zX""}]","[{""__ref__"":""productosSeleccionados/SizFh72bpjt7452vBgWx""},{""__ref__"":""productosSeleccionados/KGrcLDU4Q3UBI2frOubc""}]",3834.6
"[{""__ref__"":""pagos/IO9ZsbEkiPIQ04gpa8gL""}]","[{""__ref__"":""productosSeleccionados/SizKIVhsacoA27ptYtO0""}]",500
"[{""__ref__"":""pagos/4QV8r56trLylm5ST1ABG""}]","[{""__ref__"":""productosSeleccionados/SJ0xB1QKB8zWPllpmQMz""}]",9800
"[{""__ref__"":""pagos/ZEmtK0yJA1WKpphNEA6v""}]","[{""__ref__"":""productosSeleccionados/sj2HYgJz6ThtU29MHOKm""}]",1607.4
"[{""__ref__"":""pagos/sBLlSPllL1H57KgLV5Du""}]","[{""__ref__"":""productosSeleccionados/sJ4NhmoNPt8Q2QgssdM2""},{""__ref__"":""productosSeleccionados/vSmO28Sr31pkdI691S79""}]",3825
"[{""__ref__"":""pagos/4EbyfowzdqMVwoGUYZpH""}]","[{""__ref__"":""productosSeleccionados/SJ4rqMNBeO5AKmFWlMu4""}]",3400
"[{""__ref__"":""pagos/50UV8UYfOlX0d6yDfSuQ""},{""__ref__"":""pagos/jC80Z3De5gAqksQS856i""}]","[{""__ref__"":""productosSeleccionados/SjjkEmSQBvJ9xbbOBVEc""},{""__ref__"":""productosSeleccionados/8kG3J5UFYCqLnIyS97aY""}]",2475
"[{""__ref__"":""pagos/wwVVXSF8h4IpURxUnGkL""}]","[{""__ref__"":""productosSeleccionados/sJNdB4KOeDg2NygnSjXw""},{""__ref__"":""productosSeleccionados/ag7Me8xReSEwd2OpeUSd""}]",11060
"[{""__ref__"":""pagos/LPuldcxkCIRlroJ7hc4D""}]","[{""__ref__"":""productosSeleccionados/SjWCQg4HTu1IvcfjsFS3""}]",100
"[{""__ref__"":""pagos/nYBGLG0jpnc2BePFWH0N""},{""__ref__"":""pagos/xfWSYmTmMydk40pY53PZ""}]","[{""__ref__"":""productosSeleccionados/SjXBUXcRB1k03bj9XXaZ""},{""__ref__"":""productosSeleccionados/czw1IbLDMaRKmsyWiBYC""}]",15345
"[{""__ref__"":""pagos/ezJxh2IwLIFZ3zzqnBT1""}]","[{""__ref__"":""productosSeleccionados/sJZeCHKoOwgiTb9RBipX""}]",4200
"[{""__ref__"":""pagos/BNFhEfeBOqyBcJuz4cCs""}]","[{""__ref__"":""productosSeleccionados/SK1hAUUNsSf4ZbHYHwt9""}]",1420
"[{""__ref__"":""pagos/OW9F1CG9qhvc6gBuDMwe""}]","[{""__ref__"":""productosSeleccionados/Sk2Zp7uGrX0RN5q2dCvo""},{""__ref__"":""productosSeleccionados/UoiQ8zXvJRkk2YLIi0jw""}]",190877.5
"[{""__ref__"":""pagos/SbuqdLIyEk1cSuQqHFED""}]","[{""__ref__"":""productosSeleccionados/sk5CSOZ0qbb9QITAfn5I""}]",50
"[{""__ref__"":""pagos/4NMCCfXyX9KXH4KAGqBP""}]","[{""__ref__"":""productosSeleccionados/SK9A8Z6UvGO4dYvNQLgV""},{""__ref__"":""productosSeleccionados/iN3iqt7SXkoZOGHRPprH""},{""__ref__"":""productosSeleccionados/uVi9lJqMczfGUfZZPPLs""},{""__ref__"":""productosSeleccionados/6MeRoF7JoVSczBlFDZmr""}]",8970
"[{""__ref__"":""pagos/V7VHGCFpZOrAM9cMIjHf""}]","[{""__ref__"":""productosSeleccionados/SkhLoiBySLC1xy5V3jNo""}]",3758.4
"[{""__ref__"":""pagos/Q8OYwPBNCHn2riewq5jp""}]","[{""__ref__"":""productosSeleccionados/sKKM167eU5yJIY3lTAT3""}]",1540
"[{""__ref__"":""pagos/srQBap3TC82Q1c0SEur9""},{""__ref__"":""pagos/uXuroquXa8SWjc5oLFTf""}]","[{""__ref__"":""productosSeleccionados/skKY8EWZMIVP1UyQQbXm""},{""__ref__"":""productosSeleccionados/8ClhZWOH2p0Duut3yuon""}]",8167.5
"[{""__ref__"":""pagos/4hAnsYPXNXTq5ft5b1hy""}]","[{""__ref__"":""productosSeleccionados/SKm9VvE9Mpa5vkN27GLI""},{""__ref__"":""productosSeleccionados/airRvw0UvhsE4g51HLYT""},{""__ref__"":""productosSeleccionados/CcE25TDTdojFTfRNwcQ8""}]",19656.35
"[{""__ref__"":""pagos/0SJCaYe1XMEvnQ9GOSSN""},{""__ref__"":""pagos/4Idwi3e45rdEKM1IKbUZ""}]","[{""__ref__"":""productosSeleccionados/SKoeu9wPslDNXz4Y5ZBy""},{""__ref__"":""productosSeleccionados/PdhQTcrUvaGuDjh9PDlb""},{""__ref__"":""productosSeleccionados/xTkYp6Ok9Mff63X5VhZS""},{""__ref__"":""productosSeleccionados/TG493HoNFIfqIxNw867J""},{""__ref__"":""productosSeleccionados/vHNLxs7x6309lkQkYlRQ""}]",1275943
"[{""__ref__"":""pagos/sVSBkZRMqlLH6FMpI3M3""}]","[{""__ref__"":""productosSeleccionados/sKqtqqwKekG8sy92yI6i""},{""__ref__"":""productosSeleccionados/9MbczYR4AeUwqk5okIzw""}]",1330
"[{""__ref__"":""pagos/t5VUg3CIImf4jy0jPdwv""}]","[{""__ref__"":""productosSeleccionados/SKtpDfuLYzBuXHEvyt19""}]",2430
"[{""__ref__"":""pagos/9h8qatioV6K7oBkTRayz""}]","[{""__ref__"":""productosSeleccionados/sKU949IXgV1ZzFKQY01d""}]",4740
"[{""__ref__"":""pagos/gurTesyZiuzlWPp1qzY7""}]","[{""__ref__"":""productosSeleccionados/SKUm4cGDX1As7JIKWBoD""},{""__ref__"":""productosSeleccionados/0YZvUU6r5XrLjribrEzG""}]",17226
"[{""__ref__"":""pagos/j6jiukTWCMX689WhjbUg""}]","[{""__ref__"":""productosSeleccionados/sKzHUjACTdrbSjaEtuIY""},{""__ref__"":""productosSeleccionados/tgOmoxbIfeE7Ok4wH2wG""},{""__ref__"":""productosSeleccionados/6vHgRKkX4JGQVXedVFdM""}]",11058
"[{""__ref__"":""pagos/qbEoR1eVEJxxffuPflRd""}]","[{""__ref__"":""productosSeleccionados/skZUD2QmE3VrKl3VeUUr""},{""__ref__"":""productosSeleccionados/dZd1OL5QR4Uf24O1wjN1""}]",343
"[{""__ref__"":""pagos/Yt3ZWpVBwhYuJLcUmGOV""}]","[{""__ref__"":""productosSeleccionados/Sl5fBpdO3ASh6FjWKQLM""},{""__ref__"":""productosSeleccionados/rmc6gd5XGQstWyzmodbi""}]",1760
"[{""__ref__"":""pagos/eMG4HY45P5myGyXCdeoM""},{""__ref__"":""pagos/ZLgjvK0Xaa1Sx6PqXgEq""}]","[{""__ref__"":""productosSeleccionados/slf0VYxqz5hSp5rfHlO9""}]",5481
"[{""__ref__"":""pagos/Ri56dccXyOWGUsCkLMFb""},{""__ref__"":""pagos/jCzBid4foyAtINiPTeFX""}]","[{""__ref__"":""productosSeleccionados/slsnqYoEltVFHz4DUalW""}]",28035.8573
"[{""__ref__"":""pagos/Wz5U6dCAQhPmm5KLgUzq""}]","[{""__ref__"":""productosSeleccionados/sM31IX6OMnCo2RmF5lrz""}]",123420
"[{""__ref__"":""pagos/fpL1LQIzKEKa6fUUeyAH""}]","[{""__ref__"":""productosSeleccionados/SMAEAWEpfgfDMdVSTBZt""}]",2530
"[{""__ref__"":""pagos/7XA5yP9ZvW33dYh5D1lu""}]","[{""__ref__"":""productosSeleccionados/smBeWCb8Za3ypPJSc4La""}]",960
"[{""__ref__"":""pagos/J6WogxNZnzL8ThrtZDlX""}]","[{""__ref__"":""productosSeleccionados/sMD1hv0z2MGuF10MQwJk""},{""__ref__"":""productosSeleccionados/12fEGIX24wtbbEcPztCW""}]",8722.35
"[{""__ref__"":""pagos/cC5x8QZrps2LlSJtrVzK""}]","[{""__ref__"":""productosSeleccionados/SMdfjfTcoos4UYRYKXGC""}]",385
"[{""__ref__"":""pagos/HT944drWIO3TPgT8kj9K""}]","[{""__ref__"":""productosSeleccionados/SmifO1YQMbVuY7lPeCdb""}]",750
"[{""__ref__"":""pagos/1RiGVb0HXvavAyw2fZWd""}]","[{""__ref__"":""productosSeleccionados/smR4OG2ktZqYrzcceVzP""},{""__ref__"":""productosSeleccionados/T32QSOsZR2gkfqzhhcyw""}]",6611.9
"[{""__ref__"":""pagos/sE63lH1jho5TdEFU3Z2F""}]","[{""__ref__"":""productosSeleccionados/SmtZk6xkkkvlluaK8ERI""}]",2070
"[{""__ref__"":""pagos/jpJUb8CjmOPyijoTnLrd""},{""__ref__"":""pagos/HrrYazf97bvLPK86m5Ur""}]","[{""__ref__"":""productosSeleccionados/smZ6CFa1IihRBMEed6Ex""},{""__ref__"":""productosSeleccionados/qaEFrUDoQFHcfXDs4Lvk""}]",10872
"[{""__ref__"":""pagos/jFVdhspMwxl90dQiltUB""}]","[{""__ref__"":""productosSeleccionados/sn14htQDuSKdYyyJVEZ4""}]",23093
"[{""__ref__"":""pagos/eu4yDwKzMhohGbHVZRNL""}]","[{""__ref__"":""productosSeleccionados/sn23iSTbxGuDpVXnwV9K""},{""__ref__"":""productosSeleccionados/SGNADL5zQoTu1cWhyzjX""}]",191700.3
"[{""__ref__"":""pagos/d7V4ioD1XuF3HFfzXJYh""}]","[{""__ref__"":""productosSeleccionados/SnAWaMAgMz2PMXCSGfyZ""}]",245
"[{""__ref__"":""pagos/GNXOk9bshMmBo628dtLc""}]","[{""__ref__"":""productosSeleccionados/SNImEKrFa0rhbQb0Ttj4""}]",960
"[{""__ref__"":""pagos/tZRTOaX9KqSvavFzM49z""}]","[{""__ref__"":""productosSeleccionados/snSfOcHNJTCfFDm2pVCM""}]",3256.505
"[{""__ref__"":""pagos/zfNqRSUqs5y9PCQ9Tv98""}]","[{""__ref__"":""productosSeleccionados/sNWQllr95XIsp8zQb0jU""},{""__ref__"":""productosSeleccionados/Ky1jBek0Ieo7Ya7tmqkP""}]",20946
"[{""__ref__"":""pagos/mQZmZlATpIA2KLFU94Qg""},{""__ref__"":""pagos/oVByj8RENI3cSHYE4OMW""}]","[{""__ref__"":""productosSeleccionados/sNXw29wU79CNxeFEwiav""}]",7000
"[{""__ref__"":""pagos/3J3Bw9pVaGZeUFkFg1jF""},{""__ref__"":""pagos/pBYikzUpwiKhnp0wZ6oO""}]","[{""__ref__"":""productosSeleccionados/snYabgNsNNm5p595JSSp""},{""__ref__"":""productosSeleccionados/fTheTM5jYNSkG2yxOYCr""},{""__ref__"":""productosSeleccionados/YQEXvojBwJgdRFZcqwBS""},{""__ref__"":""productosSeleccionados/IycVdB63K5k2jb8dw0bp""}]",117056.4
"[{""__ref__"":""pagos/k0TnhSNiMFzYa2sfTNKd""}]","[{""__ref__"":""productosSeleccionados/sO33uFiEGlg711GMuUh9""}]",7399.35
"[{""__ref__"":""pagos/NkyQqTqcQ1rTOLxsypEj""}]","[{""__ref__"":""productosSeleccionados/sO9J1d519oPQuMgHWL48""},{""__ref__"":""productosSeleccionados/VgjOZnZUUcPgwqYpAMPX""},{""__ref__"":""productosSeleccionados/3pSstuAhpfnr4GsCteMU""},{""__ref__"":""productosSeleccionados/iwNVcOwUUQf7OxLpzscZ""}]",3116
"[{""__ref__"":""pagos/95cm5P0ep0ozI4CILmxx""}]","[{""__ref__"":""productosSeleccionados/SobRtOnXu3StRfhcBDeL""},{""__ref__"":""productosSeleccionados/SLun220IrApt4WsGZBa0""}]",2337
"[{""__ref__"":""pagos/7Ix5i7IK9Slhisvd5Uv3""}]","[{""__ref__"":""productosSeleccionados/soDNWXBkLvmX8qQaqON7""}]",18374.96
"[{""__ref__"":""pagos/oTWacYDoiQnUrzvdYiSk""}]","[{""__ref__"":""productosSeleccionados/sodZTSX8Dm8EXTap76ZP""}]",10900
"[{""__ref__"":""pagos/Hkyk4cbhiGjyafXmkqf5""}]","[{""__ref__"":""productosSeleccionados/soFNgxqnrtNSUQfn2gUb""}]",552
"[{""__ref__"":""pagos/CYgwbAhoGzQAaVSeCQ2z""}]","[{""__ref__"":""productosSeleccionados/sOGnaOx2vVXbWqJNgL72""},{""__ref__"":""productosSeleccionados/GqraHW4BETc9CUVpHeVr""}]",1000
"[{""__ref__"":""pagos/C0RhoJFmh5OkjDHGxb2y""}]","[{""__ref__"":""productosSeleccionados/SOIQ3lsEj6jOSHiM13NL""},{""__ref__"":""productosSeleccionados/CyxghLwnxVPtp4xnFo5J""}]",3501
"[{""__ref__"":""pagos/jbRRw93B38nyAZ9lCBlG""}]","[{""__ref__"":""productosSeleccionados/solWStjuJ6vZae0S8ldw""},{""__ref__"":""productosSeleccionados/jpsQ719XncLZL2S0Gp7O""}]",4630.14
"[{""__ref__"":""pagos/86dkX4p2fmloRCAeHtQp""}]","[{""__ref__"":""productosSeleccionados/soM2NAETj9wY1KL4C0Z1""}]",2520
"[{""__ref__"":""pagos/9yopRNJ0eXpuQypAbe0s""}]","[{""__ref__"":""productosSeleccionados/sop3nQpfvWKVOfPOLaCx""}]",1040
"[{""__ref__"":""pagos/Npj7XpBjN5qmHD3rxyWc""}]","[{""__ref__"":""productosSeleccionados/SOrRmxs5KmOESFfGPSJl""},{""__ref__"":""productosSeleccionados/eo1SCv2OnusmTqgDeR4k""},{""__ref__"":""productosSeleccionados/VzljBbg9CFAN29QULiwf""}]",14490
"[{""__ref__"":""pagos/zJ31lXSuQNQFsrY2JWM7""}]","[{""__ref__"":""productosSeleccionados/sovH9unTBhxbzaVDpu3Q""},{""__ref__"":""productosSeleccionados/YwK6yjHxPA0pGttiCEFp""}]",11350
"[{""__ref__"":""pagos/SouTxmQJ7YYXG9xEWk8t""}]","[{""__ref__"":""productosSeleccionados/SOvRCyAZC2swVEBH24U1""}]",910
"[{""__ref__"":""pagos/bSOuARAK6ad6wCG2OogE""}]","[{""__ref__"":""productosSeleccionados/soWNpaeWR3JivSCRvBfw""},{""__ref__"":""productosSeleccionados/8s6KPWfDgM79MORL0ikF""}]",18480
"[{""__ref__"":""pagos/S1YDYptu6Nv1xI8y3Mni""},{""__ref__"":""pagos/h943RGY6z3ZtKLMC21Zm""}]","[{""__ref__"":""productosSeleccionados/sox2BqJQvC3qymynfris""},{""__ref__"":""productosSeleccionados/B4gm6pbrmFuKlX6XRdBt""},{""__ref__"":""productosSeleccionados/bnbOYJBErPo8Xzw4Nzz2""},{""__ref__"":""productosSeleccionados/T6bKBAy4Bl8frdfmumbG""},{""__ref__"":""productosSeleccionados/70v5YlwJP6vfd2jSLsIz""}]",43064
"[{""__ref__"":""pagos/07WrQv482JYURXjtYpy5""}]","[{""__ref__"":""productosSeleccionados/SOx3NpwzWGhEsbnP9Uwq""},{""__ref__"":""productosSeleccionados/8gjYMXYvTcSLLFy9iTIL""}]",3840
"[{""__ref__"":""pagos/iZXQz029XXr4tnAG8N7j""},{""__ref__"":""pagos/MxZe3YxPOIemPRegLVoI""}]","[{""__ref__"":""productosSeleccionados/Sp8ejlA4XJK41ZSq3tDG""}]",12270
"[{""__ref__"":""pagos/86icacHCVH5RG3es6exM""}]","[{""__ref__"":""productosSeleccionados/sPbVL6L1al0HDqd3idc5""}]",660
"[{""__ref__"":""pagos/v5uE1apoDfJNnrA1FAHo""}]","[{""__ref__"":""productosSeleccionados/SpFsidujafNsuoVlcpBo""}]",400
"[{""__ref__"":""pagos/Q6A4qewuI1Ys40y2uDOx""}]","[{""__ref__"":""productosSeleccionados/SpFwMbGnkPeZrPc8DSxx""},{""__ref__"":""productosSeleccionados/hK1rtPanKaZ3n873xaxR""}]",16903.7
"[{""__ref__"":""pagos/zZBrGIW4HdKtHP8FRAPc""}]","[{""__ref__"":""productosSeleccionados/sPGT4mf0SBcQakG7Yvdg""}]",1600
"[{""__ref__"":""pagos/fhRMXNu6fAYd57JmCekV""},{""__ref__"":""pagos/5kj2bG1H4P6SolMYg10j""}]","[{""__ref__"":""productosSeleccionados/spisOo2DYLHB2oe3bqkx""},{""__ref__"":""productosSeleccionados/4yTdtkhLtCVdp1tsFLgg""}]",22037.4
"[{""__ref__"":""pagos/51CnZk1YJYVQLVelmVQq""}]","[{""__ref__"":""productosSeleccionados/SPiwNaklavTLYdUfyoPn""}]",2200
"[{""__ref__"":""pagos/WBptyxyRjou9V629gnzf""}]","[{""__ref__"":""productosSeleccionados/SpjCIaLQaUW2MlkCVGja""}]",5320
"[{""__ref__"":""pagos/JnHwJAyReDl7Gq9uGgeX""}]","[{""__ref__"":""productosSeleccionados/sPKa4VJ99mqu9Gpwq7RZ""},{""__ref__"":""productosSeleccionados/ew4X5Q1j13ta0UDiaBX9""}]",149
"[{""__ref__"":""pagos/JaQNTNpvcTKkbH6Cybcr""}]","[{""__ref__"":""productosSeleccionados/SPPcNrxJ7ncTTYXKTFlc""}]",2340
"[{""__ref__"":""pagos/DDxM4YfiUIdlAAGWpy29""}]","[{""__ref__"":""productosSeleccionados/sPSJv5ROLwo3q514jSgd""},{""__ref__"":""productosSeleccionados/s8V8PPxJy4enFTPCoG47""}]",16770.6
"[{""__ref__"":""pagos/QbarQfxcTYChKLzf49ed""}]","[{""__ref__"":""productosSeleccionados/SPwhVwnF6lKgnbJS7Kqq""}]",893
"[{""__ref__"":""pagos/uuSmcpeXX13o8kknUskJ""}]","[{""__ref__"":""productosSeleccionados/SPy6ivnI8MWm99KPtjIg""},{""__ref__"":""productosSeleccionados/u7zQhO2hf8qlm9zArdlp""}]",4665.76
"[{""__ref__"":""pagos/7VwO92R1KLZaqc5LkLvP""}]","[{""__ref__"":""productosSeleccionados/Sq1LcfEHDNe5pVyPTMjT""}]",1710
"[{""__ref__"":""pagos/rz8b13p5cjYwwMGT5Pe2""},{""__ref__"":""pagos/3Rd3qeQ1jxWFj9VnStHm""}]","[{""__ref__"":""productosSeleccionados/Sq2d11atEEXvQvxhvZWz""},{""__ref__"":""productosSeleccionados/YOJOsK3GI9BYPwq9Q4tX""}]",6275
"[{""__ref__"":""pagos/oWGu6itHm3HUCno7Z2EV""}]","[{""__ref__"":""productosSeleccionados/sQ46g8U7Z0ID7JS5QXWl""},{""__ref__"":""productosSeleccionados/nHD0KKDsVYFWsLxbdBFr""}]",1950
"[{""__ref__"":""pagos/1xbU6C4YqyH9unvWQaiq""}]","[{""__ref__"":""productosSeleccionados/sQD2OxQFoxgoIkJxwf1V""}]",1805
"[{""__ref__"":""pagos/9CxYRpiGieT9InXSTGMh""}]","[{""__ref__"":""productosSeleccionados/sqIQvOdcodXGsmAIrTzd""}]",3200
"[{""__ref__"":""pagos/GTiEaOgLp0UVqWWtdb8h""},{""__ref__"":""pagos/SlhnvTyfjruyDbmHGnPH""}]","[{""__ref__"":""productosSeleccionados/sQjhs6c0sX352LPBpcvf""}]",19778.539
"[{""__ref__"":""pagos/lBlwHezBWbKgtI9PL4KQ""}]","[{""__ref__"":""productosSeleccionados/sqlZH67ICOZY78VRFtGN""},{""__ref__"":""productosSeleccionados/tFlcBBxdLLFWOUCk19y6""}]",3800
"[{""__ref__"":""pagos/FpMGed1DrvpJaDCKTcsh""}]","[{""__ref__"":""productosSeleccionados/sqoaqSyXGWtKo6XBgW1Q""}]",120
"[{""__ref__"":""pagos/bYyGoznJbugAmtjY0T1W""}]","[{""__ref__"":""productosSeleccionados/sQofK7DiblunthExwjof""}]",8030
"[{""__ref__"":""pagos/FNRYBT5GWq4G7v1luWpJ""},{""__ref__"":""pagos/9JE5pALnkegUnzhU9xje""}]","[{""__ref__"":""productosSeleccionados/sQpUOXyKBLMyWNBafb0S""}]",12500
"[{""__ref__"":""pagos/AvDj2idTknr6ReeUisEx""}]","[{""__ref__"":""productosSeleccionados/SqWXyFRTNZlIFcN71FO7""}]",21565
"[{""__ref__"":""pagos/efxCCgwRNvWjXqfcMrNd""}]","[{""__ref__"":""productosSeleccionados/Sr4OQkSzlfT9mwFLPPF2""}]",3490
"[{""__ref__"":""pagos/VDNIJ0nDU6BP2zavseNs""}]","[{""__ref__"":""productosSeleccionados/sR4xQzqlAYr4iXwnfbrF""},{""__ref__"":""productosSeleccionados/ykzVGAO2t3uRbOcGw9Jh""}]",6010
"[{""__ref__"":""pagos/aByXRQlLdaPxl1ZRXpZH""}]","[{""__ref__"":""productosSeleccionados/srAqeyYmtjGcjKZVdX3t""}]",12500
"[{""__ref__"":""pagos/HDw5YoiSnQMXgRxFrwrw""}]","[{""__ref__"":""productosSeleccionados/SRbueFGT1NwTpJ8LtMdt""}]",39600
"[{""__ref__"":""pagos/dpsyxTDBvscSFqxo3yWK""}]","[{""__ref__"":""productosSeleccionados/srH8ixcWyEQlZSYJpFrg""}]",4800
"[{""__ref__"":""pagos/YYxEHETQsYtfK7I3J4yD""}]","[{""__ref__"":""productosSeleccionados/sRHRmNfQFN93YKjfzEvU""},{""__ref__"":""productosSeleccionados/MZcH3cIhm1Js80BvFYSE""}]",6175
"[{""__ref__"":""pagos/AASJNTKSwca0VmyCi7Go""}]","[{""__ref__"":""productosSeleccionados/sRkntnX1vDYPuogyHDA0""}]",70
"[{""__ref__"":""pagos/ZxQUQ4XmKDpoTQbn5zbm""}]","[{""__ref__"":""productosSeleccionados/SRKpeSMd5srTeVxpXlrM""}]",4635.4
"[{""__ref__"":""pagos/URddnHrmChJZbrwog6us""},{""__ref__"":""pagos/MBD99O7kFM52JfxL8arb""}]","[{""__ref__"":""productosSeleccionados/sRoPAqO0RjW9gQhYImAs""},{""__ref__"":""productosSeleccionados/C4tx7A8ykptL45LM3ndu""}]",21650
"[{""__ref__"":""pagos/F50RHoEivlUAmNfKgC09""}]","[{""__ref__"":""productosSeleccionados/SRTXBJlYPxSFjG0Y35bj""},{""__ref__"":""productosSeleccionados/MoTJgcWhh3tyT4yXuwy9""}]",2160
"[{""__ref__"":""pagos/drm4s4DM6Nn0BbAGyRVP""}]","[{""__ref__"":""productosSeleccionados/sRYwjpauVmDzplRT278O""},{""__ref__"":""productosSeleccionados/UxbQnuaUsFWapTweMKHf""}]",7000
"[{""__ref__"":""pagos/WNtNNCqf2af12cLIDgNK""}]","[{""__ref__"":""productosSeleccionados/ss3Z0GvU3TFk7tJdra8u""},{""__ref__"":""productosSeleccionados/4U8THy0Liw19kJS5yLmp""}]",26571.6
"[{""__ref__"":""pagos/Eo7kKExU5XmLEUBozlVr""}]","[{""__ref__"":""productosSeleccionados/SsduBOfucBKL2MY2X2No""},{""__ref__"":""productosSeleccionados/fxxmuOdbeaxGgkuGRQG7""}]",9662.8
"[{""__ref__"":""pagos/PiVWnJe3MUCCig4DRrdC""},{""__ref__"":""pagos/TLQIwilgRHEEyy5lC7Wn""}]","[{""__ref__"":""productosSeleccionados/sSfUvVsPf6WrgtDHUpkt""}]",8382
"[{""__ref__"":""pagos/ymuo5xrEdmOWI6l9f3C3""}]","[{""__ref__"":""productosSeleccionados/sSg6ZaH1XpbDrxeabZNI""},{""__ref__"":""productosSeleccionados/bRCrDvxmAF5e3YnOvI96""}]",1740
"[{""__ref__"":""pagos/nhtRA1joaXnYHMvS4Afx""},{""__ref__"":""pagos/poGRjiic6nfOmJaHnAgg""}]","[{""__ref__"":""productosSeleccionados/ssgOURQ4cNRKFmVgziYv""}]",4164
"[{""__ref__"":""pagos/0vFOguahaxx9cGnq6Ybs""}]","[{""__ref__"":""productosSeleccionados/SsjuySo91yECiCD7LJ2R""},{""__ref__"":""productosSeleccionados/pUChAis6nLdsD1O3uTsy""},{""__ref__"":""productosSeleccionados/zjwPXHwuRJ13DF8QZMp0""},{""__ref__"":""productosSeleccionados/socb4kfhximjSSAA4uXv""}]",7758
"[{""__ref__"":""pagos/Ae185JNzUbTFJCkzHiTt""}]","[{""__ref__"":""productosSeleccionados/sSkKLCVCE7Xppva8K4Ph""}]",240
